,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
FBXW8,ENSG00000174989,Gene Expression,GRCh38,False,60,0.012019231,0.011947574,98.79807692307693,60.0,4.1108737,53
TESC,ENSG00000088992,Gene Expression,GRCh38,False,186,0.040064104,0.039282348,96.27403846153845,200.0,5.3033047,152
FBXO21,ENSG00000135108,Gene Expression,GRCh38,False,1897,0.521234,0.41952184,61.99919871794872,2602.0,7.86442,1491
NOS1,ENSG00000089250,Gene Expression,GRCh38,False,727,0.16766827,0.15500882,85.43669871794873,837.0,6.731018,624
AC073864.1,ENSG00000255686,Gene Expression,GRCh38,False,26,0.0052083335,0.005194817,99.47916666666666,26.0,3.295837,18
KSR2,ENSG00000171435,Gene Expression,GRCh38,False,875,0.20152244,0.18358946,82.47195512820514,1006.0,6.914731,677
RFC5,ENSG00000111445,Gene Expression,GRCh38,False,209,0.044270832,0.043318875,95.81330128205127,221.0,5.4026775,162
AC131159.2,ENSG00000277873,Gene Expression,GRCh38,False,28,0.0056089745,0.0055933027,99.43910256410257,28.0,3.3672957,26
WSB2,ENSG00000176871,Gene Expression,GRCh38,False,2432,0.8545673,0.6176514,51.28205128205128,4266.0,8.358666,1955
VSIG10,ENSG00000176834,Gene Expression,GRCh38,False,224,0.04707532,0.046000868,95.51282051282051,235.0,5.463832,178
AC131238.1,ENSG00000274859,Gene Expression,GRCh38,False,77,0.01582532,0.015701406,98.45753205128204,79.0,4.3820267,64
PEBP1,ENSG00000089220,Gene Expression,GRCh38,False,4631,9.673477,2.3677619,7.231570512820518,48290.0,10.785001,2993
TAOK3,ENSG00000135090,Gene Expression,GRCh38,False,1115,0.26081732,0.23176017,77.66426282051282,1302.0,7.172425,840
SUDS3,ENSG00000111707,Gene Expression,GRCh38,False,573,0.12900642,0.121337965,88.52163461538461,644.0,6.46925,457
AC026367.3,ENSG00000275759,Gene Expression,GRCh38,False,54,0.010817308,0.0107592195,98.91826923076923,54.0,4.0073333,40
AC026367.2,ENSG00000275409,Gene Expression,GRCh38,False,66,0.013421474,0.013332204,98.67788461538461,67.0,4.2195077,54
LINC02440,ENSG00000255618,Gene Expression,GRCh38,False,28,0.0056089745,0.0055933027,99.43910256410257,28.0,3.3672957,22
SRRM4,ENSG00000139767,Gene Expression,GRCh38,False,2116,0.6520433,0.50201285,57.612179487179496,3255.0,8.088255,1518
HSPB8,ENSG00000152137,Gene Expression,GRCh38,False,498,0.111177884,0.10542061,90.02403846153845,555.0,6.3207684,411
PRKAB1,ENSG00000111725,Gene Expression,GRCh38,False,906,0.20713142,0.18824682,81.85096153846155,1034.0,6.942157,725
CIT,ENSG00000122966,Gene Expression,GRCh38,False,1102,0.2636218,0.23398204,77.92467948717949,1316.0,7.1831117,837
BICDL1,ENSG00000135127,Gene Expression,GRCh38,False,1070,0.25120193,0.22410463,78.56570512820514,1254.0,7.134891,766
RAB35,ENSG00000111737,Gene Expression,GRCh38,False,660,0.14703526,0.13718058,86.77884615384616,734.0,6.5998707,530
AC004812.2,ENSG00000277283,Gene Expression,GRCh38,False,434,0.09415064,0.08997839,91.30608974358975,470.0,6.154858,342
GCN1,ENSG00000089154,Gene Expression,GRCh38,False,1284,0.31870994,0.27665395,74.27884615384616,1591.0,7.3727465,983
RPLP0,ENSG00000089157,Gene Expression,GRCh38,False,3737,2.2121394,1.1669372,25.14022435897436,11043.0,9.309643,2790
PXN-AS1,ENSG00000255857,Gene Expression,GRCh38,False,188,0.03966346,0.038897064,96.23397435897436,198.0,5.293305,160
PXN,ENSG00000089159,Gene Expression,GRCh38,False,1272,0.323117,0.27999032,74.51923076923077,1613.0,7.386471,909
AC004263.1,ENSG00000275936,Gene Expression,GRCh38,False,19,0.0040064105,0.003998406,99.61939102564102,20.0,3.0445225,11
SIRT4,ENSG00000089163,Gene Expression,GRCh38,False,156,0.032451924,0.03193648,96.875,162.0,5.09375,129
MSI1,ENSG00000135097,Gene Expression,GRCh38,False,475,0.10576923,0.10054123,90.48477564102564,528.0,6.2709885,413
COX6A1,ENSG00000111775,Gene Expression,GRCh38,False,4221,7.0500803,2.0856822,15.444711538461542,35194.0,10.468659,2983
TRIAP1,ENSG00000170855,Gene Expression,GRCh38,False,495,0.107572116,0.10217033,90.08413461538461,537.0,6.2878585,394
GATC,ENSG00000257218,Gene Expression,GRCh38,False,1001,0.23297276,0.20942813,79.94791666666666,1163.0,7.0596175,779
SRSF9,ENSG00000111786,Gene Expression,GRCh38,False,2047,0.59655446,0.46784785,58.99439102564102,2978.0,7.999343,1596
DYNLL1,ENSG00000088986,Gene Expression,GRCh38,False,3818,2.5072114,1.2548213,23.517628205128204,12516.0,9.434843,2823
NRAV,ENSG00000248008,Gene Expression,GRCh38,False,111,0.023036858,0.022775516,97.7764423076923,115.0,4.75359,89
COQ5,ENSG00000110871,Gene Expression,GRCh38,False,713,0.15745193,0.14622098,85.71714743589743,786.0,6.668228,566
RNF10,ENSG00000022840,Gene Expression,GRCh38,False,2082,0.6262019,0.48624718,58.293269230769226,3126.0,8.04783,1601
POP5,ENSG00000167272,Gene Expression,GRCh38,False,1001,0.23457532,0.21072704,79.94791666666666,1171.0,7.066467,778
AC125616.1,ENSG00000256008,Gene Expression,GRCh38,False,359,0.07532051,0.07261877,92.80849358974359,376.0,5.9322453,287
CABP1,ENSG00000157782,Gene Expression,GRCh38,False,2498,0.88040864,0.6314891,49.95993589743589,4395.0,8.388451,1985
MLEC,ENSG00000110917,Gene Expression,GRCh38,False,1093,0.27904648,0.24611486,78.10496794871796,1393.0,7.2399325,918
AC069234.4,ENSG00000276188,Gene Expression,GRCh38,False,27,0.0056089745,0.0055933027,99.45913461538461,28.0,3.3672957,25
UNC119B,ENSG00000175970,Gene Expression,GRCh38,False,812,0.18549679,0.17016192,83.73397435897436,926.0,6.8319535,658
ACADS,ENSG00000122971,Gene Expression,GRCh38,False,437,0.096354164,0.09199028,91.24599358974359,481.0,6.177944,370
SPPL3,ENSG00000157837,Gene Expression,GRCh38,False,1532,0.40464744,0.33978635,69.31089743589743,2020.0,7.6113477,1248
C12orf43,ENSG00000157895,Gene Expression,GRCh38,False,490,0.10737179,0.101989456,90.18429487179486,536.0,6.285998,405
OASL,ENSG00000135114,Gene Expression,GRCh38,False,70,0.015625,0.015504187,98.59775641025641,78.0,4.3694477,61
P2RX7,ENSG00000089041,Gene Expression,GRCh38,False,402,0.08553686,0.082074665,91.94711538461539,427.0,6.059123,334
AC069209.1,ENSG00000274029,Gene Expression,GRCh38,False,69,0.014222756,0.014122562,98.61778846153845,71.0,4.276666,50
P2RX4,ENSG00000135124,Gene Expression,GRCh38,False,1445,0.36738783,0.31290224,71.0536858974359,1834.0,7.5147996,1071
CAMKK2,ENSG00000110931,Gene Expression,GRCh38,False,4295,3.5080128,1.5058564,13.962339743589746,17512.0,9.770699,2782
ANAPC5,ENSG00000089053,Gene Expression,GRCh38,False,2283,0.6844952,0.52146596,54.26682692307692,3417.0,8.136811,1688
RNF34,ENSG00000170633,Gene Expression,GRCh38,False,1238,0.30248398,0.2642732,75.20032051282051,1510.0,7.320527,917
KDM2B,ENSG00000089094,Gene Expression,GRCh38,False,858,0.2021234,0.1840895,82.8125,1009.0,6.9177055,689
ORAI1,ENSG00000276045,Gene Expression,GRCh38,False,83,0.017628206,0.01747463,98.33733974358975,88.0,4.4886365,64
MORN3,ENSG00000139714,Gene Expression,GRCh38,False,20,0.0040064105,0.003998406,99.59935897435898,20.0,3.0445225,16
TMEM120B,ENSG00000188735,Gene Expression,GRCh38,False,2055,0.5973558,0.46834964,58.83413461538461,2982.0,8.000685,1407
RHOF,ENSG00000139725,Gene Expression,GRCh38,False,799,0.18329327,0.16830146,83.99439102564102,915.0,6.8200164,651
LINC01089,ENSG00000212694,Gene Expression,GRCh38,False,1872,0.5390625,0.43117347,62.5,2691.0,7.89804,1283
AC084018.2,ENSG00000274292,Gene Expression,GRCh38,False,27,0.005408654,0.0053940797,99.45913461538461,27.0,3.3322046,21
SETD1B,ENSG00000139718,Gene Expression,GRCh38,False,739,0.16386218,0.15174395,85.1963141025641,818.0,6.708084,599
PSMD9,ENSG00000110801,Gene Expression,GRCh38,False,1223,0.2976763,0.2605752,75.50080128205127,1486.0,7.304516,969
WDR66,ENSG00000158023,Gene Expression,GRCh38,False,70,0.014423077,0.014320054,98.59775641025641,72.0,4.2904596,56
AC069503.1,ENSG00000255856,Gene Expression,GRCh38,False,62,0.012620192,0.012541221,98.75801282051282,63.0,4.158883,48
BCL7A,ENSG00000110987,Gene Expression,GRCh38,False,943,0.23157051,0.20829019,81.10977564102564,1156.0,7.0535855,795
MLXIP,ENSG00000175727,Gene Expression,GRCh38,False,926,0.21374199,0.19370814,81.45032051282051,1067.0,6.973543,717
LRRC43,ENSG00000158113,Gene Expression,GRCh38,False,17,0.0034054487,0.0033996634,99.65945512820514,17.0,2.8903718,16
B3GNT4,ENSG00000176383,Gene Expression,GRCh38,False,266,0.05508814,0.05362431,94.67147435897436,275.0,5.620401,221
AC048338.2,ENSG00000284934,Gene Expression,GRCh38,False,15,0.0030048077,0.0030003022,99.69951923076923,15.0,2.7725887,11
VPS33A,ENSG00000139719,Gene Expression,GRCh38,False,794,0.18389423,0.1688092,84.09455128205127,918.0,6.823286,647
CLIP1,ENSG00000130779,Gene Expression,GRCh38,False,2150,0.62940705,0.48821616,56.93108974358974,3142.0,8.052933,1603
ZCCHC8,ENSG00000033030,Gene Expression,GRCh38,False,529,0.11518429,0.109019674,89.40304487179486,575.0,6.3561077,409
RSRC2,ENSG00000111011,Gene Expression,GRCh38,False,1996,0.5576923,0.44320542,60.016025641025635,2784.0,7.932003,1500
KNTC1,ENSG00000184445,Gene Expression,GRCh38,False,98,0.01983173,0.019637642,98.03685897435898,99.0,4.6051702,70
AC026333.4,ENSG00000274191,Gene Expression,GRCh38,False,33,0.006610577,0.006588823,99.3389423076923,33.0,3.5263605,25
DENR,ENSG00000139726,Gene Expression,GRCh38,False,977,0.23237179,0.2089406,80.4286858974359,1160.0,7.057037,805
CCDC62,ENSG00000130783,Gene Expression,GRCh38,False,33,0.006610577,0.006588823,99.3389423076923,33.0,3.5263605,26
HIP1R,ENSG00000130787,Gene Expression,GRCh38,False,1587,0.43309295,0.359835,68.20913461538461,2162.0,7.679251,1303
VPS37B,ENSG00000139722,Gene Expression,GRCh38,False,428,0.092347756,0.088329285,91.42628205128204,461.0,6.135565,356
ABCB9,ENSG00000150967,Gene Expression,GRCh38,False,660,0.1494391,0.13927408,86.77884615384616,746.0,6.616065,537
OGFOD2,ENSG00000111325,Gene Expression,GRCh38,False,520,0.11057692,0.104879625,89.58333333333334,552.0,6.315358,406
ARL6IP4,ENSG00000182196,Gene Expression,GRCh38,False,3512,1.6109775,0.95972466,29.64743589743589,8042.0,8.992558,2488
PITPNM2,ENSG00000090975,Gene Expression,GRCh38,False,603,0.13000801,0.122224726,87.92067307692307,649.0,6.4769726,435
MPHOSPH9,ENSG00000051825,Gene Expression,GRCh38,False,1003,0.234375,0.21056476,79.90785256410257,1170.0,7.0656133,724
C12orf65,ENSG00000130921,Gene Expression,GRCh38,False,623,0.13902244,0.13017039,87.52003205128204,694.0,6.543912,505
CDK2AP1,ENSG00000111328,Gene Expression,GRCh38,False,2287,0.7822516,0.5778775,54.18669871794872,3905.0,8.270269,1890
SBNO1,ENSG00000139697,Gene Expression,GRCh38,False,1429,0.36097756,0.30820325,71.37419871794873,1802.0,7.497207,1118
SBNO1-AS1,ENSG00000256092,Gene Expression,GRCh38,False,343,0.07231571,0.06982052,93.12900641025641,361.0,5.891644,272
KMT5A,ENSG00000183955,Gene Expression,GRCh38,False,752,0.17447917,0.16082479,84.93589743589743,871.0,6.7707896,585
RILPL2,ENSG00000150977,Gene Expression,GRCh38,False,139,0.027844552,0.02746394,97.21554487179486,139.0,4.9416423,119
SNRNP35,ENSG00000184209,Gene Expression,GRCh38,False,902,0.20853366,0.18940777,81.93108974358975,1041.0,6.9488974,672
RILPL1,ENSG00000188026,Gene Expression,GRCh38,False,542,0.11758814,0.111172915,89.1426282051282,587.0,6.376727,454
TMED2-DT,ENSG00000247373,Gene Expression,GRCh38,False,62,0.012419872,0.012343378,98.75801282051282,62.0,4.1431346,44
TMED2,ENSG00000086598,Gene Expression,GRCh38,False,1412,0.36578527,0.31172955,71.71474358974359,1826.0,7.5104303,1170
DDX55,ENSG00000111364,Gene Expression,GRCh38,False,631,0.13922276,0.13034624,87.35977564102564,695.0,6.5453496,489
EIF2B1,ENSG00000111361,Gene Expression,GRCh38,False,1076,0.26302084,0.23350635,78.44551282051282,1313.0,7.1808314,821
GTF2H3,ENSG00000111358,Gene Expression,GRCh38,False,477,0.10516827,0.0999976,90.44471153846155,525.0,6.265301,383
TCTN2,ENSG00000168778,Gene Expression,GRCh38,False,240,0.049278848,0.048103116,95.1923076923077,246.0,5.5093884,195
AC117503.1,ENSG00000255839,Gene Expression,GRCh38,False,41,0.008613782,0.008576895,99.1786858974359,43.0,3.7841897,28
ATP6V0A2,ENSG00000185344,Gene Expression,GRCh38,False,435,0.09334936,0.08924579,91.2860576923077,466.0,6.1463294,345
DNAH10,ENSG00000197653,Gene Expression,GRCh38,False,61,0.012620192,0.012541221,98.77804487179486,63.0,4.158883,48
CCDC92,ENSG00000119242,Gene Expression,GRCh38,False,2180,0.68509614,0.52182263,56.330128205128204,3420.0,8.137689,1734
DNAH10OS,ENSG00000250091,Gene Expression,GRCh38,False,286,0.060697116,0.058926348,94.27083333333334,303.0,5.7170277,233
AC068790.3,ENSG00000269997,Gene Expression,GRCh38,False,12,0.0024038462,0.0024009617,99.75961538461539,12.0,2.5649493,10
ZNF664,ENSG00000179195,Gene Expression,GRCh38,False,1514,0.3914263,0.33032933,69.67147435897436,1954.0,7.5781455,1175
RFLNA,ENSG00000178882,Gene Expression,GRCh38,False,401,0.091947116,0.08796245,91.96714743589743,459.0,6.1312265,359
AC068790.9,ENSG00000275389,Gene Expression,GRCh38,False,17,0.0034054487,0.0033996634,99.65945512820514,17.0,2.8903718,14
NCOR2,ENSG00000196498,Gene Expression,GRCh38,False,2117,0.6338141,0.4909172,57.59214743589743,3164.0,8.059908,1574
SCARB1,ENSG00000073060,Gene Expression,GRCh38,False,833,0.19110577,0.1748821,83.31330128205127,954.0,6.8617115,655
UBC,ENSG00000150991,Gene Expression,GRCh38,False,4609,7.7940707,2.1740777,7.672275641025639,38908.0,10.568981,2993
DHX37,ENSG00000150990,Gene Expression,GRCh38,False,216,0.044871796,0.043894194,95.67307692307693,224.0,5.4161005,174
BRI3BP,ENSG00000184992,Gene Expression,GRCh38,False,1090,0.26622596,0.2360408,78.1650641025641,1329.0,7.192934,900
AACS,ENSG00000081760,Gene Expression,GRCh38,False,813,0.18509616,0.16982391,83.7139423076923,924.0,6.829794,633
TMEM132B,ENSG00000139364,Gene Expression,GRCh38,False,175,0.036258012,0.03561616,96.49439102564102,181.0,5.2040067,141
AC079949.1,ENSG00000256001,Gene Expression,GRCh38,False,23,0.0048076925,0.0047961725,99.53926282051282,24.0,3.218876,18
AC079949.2,ENSG00000278266,Gene Expression,GRCh38,False,91,0.018830128,0.018655036,98.17708333333334,94.0,4.553877,77
AC068787.4,ENSG00000287365,Gene Expression,GRCh38,False,18,0.0036057692,0.003599284,99.63942307692307,18.0,2.944439,14
AC025160.1,ENSG00000286662,Gene Expression,GRCh38,False,15,0.0032051282,0.0032000027,99.69951923076923,16.0,2.8332133,13
TMEM132C,ENSG00000181234,Gene Expression,GRCh38,False,206,0.042868588,0.041975174,95.87339743589743,214.0,5.370638,166
SLC15A4,ENSG00000139370,Gene Expression,GRCh38,False,891,0.20472756,0.18625344,82.1514423076923,1022.0,6.930495,684
GLT1D1,ENSG00000151948,Gene Expression,GRCh38,False,532,0.117788464,0.111352146,89.34294871794873,588.0,6.378426,446
TMEM132D,ENSG00000151952,Gene Expression,GRCh38,False,12,0.0024038462,0.0024009617,99.75961538461539,12.0,2.5649493,11
LINC02418,ENSG00000214039,Gene Expression,GRCh38,False,39,0.0078125,0.0077821403,99.21875,39.0,3.6888795,38
FZD10-AS1,ENSG00000250208,Gene Expression,GRCh38,False,1018,0.24859776,0.22202113,79.6073717948718,1241.0,7.1244783,870
FZD10,ENSG00000111432,Gene Expression,GRCh38,False,74,0.015625,0.015504187,98.5176282051282,78.0,4.3694477,67
RIMBP2,ENSG00000060709,Gene Expression,GRCh38,False,220,0.04707532,0.046000868,95.59294871794873,235.0,5.463832,188
STX2,ENSG00000111450,Gene Expression,GRCh38,False,444,0.09755609,0.093085974,91.10576923076923,487.0,6.1903152,356
RAN,ENSG00000132341,Gene Expression,GRCh38,False,3168,1.3259214,0.8441163,36.53846153846154,6619.0,8.797851,2442
ADGRD1,ENSG00000111452,Gene Expression,GRCh38,False,165,0.036258012,0.03561616,96.69471153846155,181.0,5.2040067,146
SFSWAP,ENSG00000061936,Gene Expression,GRCh38,False,1620,0.4228766,0.3526806,67.54807692307692,2111.0,7.6553907,1169
MMP17,ENSG00000198598,Gene Expression,GRCh38,False,336,0.07271635,0.07019407,93.26923076923077,363.0,5.897154,274
ULK1,ENSG00000177169,Gene Expression,GRCh38,False,1981,0.5651042,0.4479524,60.31650641025641,2821.0,7.945201,1461
PUS1,ENSG00000177192,Gene Expression,GRCh38,False,436,0.093950324,0.08979529,91.26602564102564,469.0,6.152733,347
EP400,ENSG00000183495,Gene Expression,GRCh38,False,1104,0.270633,0.23951522,77.88461538461539,1351.0,7.20934,833
DDX51,ENSG00000185163,Gene Expression,GRCh38,False,901,0.21334134,0.19337799,81.9511217948718,1065.0,6.9716687,687
NOC4L,ENSG00000184967,Gene Expression,GRCh38,False,745,0.16866986,0.15586624,85.0761217948718,842.0,6.736967,586
LINC02361,ENSG00000256576,Gene Expression,GRCh38,False,81,0.016225962,0.016095728,98.37740384615384,81.0,4.406719,68
GALNT9,ENSG00000182870,Gene Expression,GRCh38,False,3073,1.24379,0.8081664,38.44150641025641,6209.0,8.733916,2123
AC148477.3,ENSG00000256943,Gene Expression,GRCh38,False,34,0.0068108975,0.006787808,99.31891025641025,34.0,3.5553482,26
AC148477.2,ENSG00000256542,Gene Expression,GRCh38,False,1084,0.26141828,0.23223671,78.28525641025641,1305.0,7.174724,747
AC148477.4,ENSG00000277011,Gene Expression,GRCh38,False,44,0.008814103,0.008775486,99.11858974358975,44.0,3.8066626,32
FBRSL1,ENSG00000112787,Gene Expression,GRCh38,False,2263,0.6911058,0.52538264,54.66746794871795,3450.0,8.14642,1626
POLE,ENSG00000177084,Gene Expression,GRCh38,False,1637,0.44491187,0.36804834,67.20753205128204,2221.0,7.706163,1088
PXMP2,ENSG00000176894,Gene Expression,GRCh38,False,661,0.15204327,0.14153711,86.7588141025641,759.0,6.6333184,537
PGAM5,ENSG00000247077,Gene Expression,GRCh38,False,578,0.12740384,0.119917504,88.42147435897436,636.0,6.4567695,497
ANKLE2,ENSG00000176915,Gene Expression,GRCh38,False,1094,0.26001602,0.23112445,78.0849358974359,1298.0,7.16935,862
GOLGA3,ENSG00000090615,Gene Expression,GRCh38,False,1756,0.47495994,0.38863084,64.82371794871796,2371.0,7.7714887,1330
CHFR,ENSG00000072609,Gene Expression,GRCh38,False,871,0.20172276,0.18375616,82.55208333333334,1007.0,6.9157233,634
AC127070.1,ENSG00000236617,Gene Expression,GRCh38,False,26,0.0052083335,0.005194817,99.47916666666666,26.0,3.295837,23
AC127070.2,ENSG00000250790,Gene Expression,GRCh38,False,34,0.007011218,0.0069867535,99.31891025641025,35.0,3.583519,23
ZNF605,ENSG00000196458,Gene Expression,GRCh38,False,444,0.09535257,0.09107629,91.10576923076923,476.0,6.1675167,318
ZNF26,ENSG00000198393,Gene Expression,GRCh38,False,294,0.062700324,0.060813144,94.11057692307693,313.0,5.749393,242
ZNF84,ENSG00000198040,Gene Expression,GRCh38,False,827,0.1875,0.17185026,83.43349358974359,936.0,6.8426833,653
ZNF140,ENSG00000196387,Gene Expression,GRCh38,False,338,0.072115384,0.06963369,93.22916666666666,360.0,5.888878,289
ZNF891,ENSG00000214029,Gene Expression,GRCh38,False,150,0.03145032,0.030965889,96.9951923076923,157.0,5.062595,114
ZNF10,ENSG00000256223,Gene Expression,GRCh38,False,354,0.07732372,0.07447993,92.90865384615384,386.0,5.9584246,293
ZNF268,ENSG00000090612,Gene Expression,GRCh38,False,320,0.06830929,0.0660773,93.58974358974359,341.0,5.8348107,267
MPHOSPH8,ENSG00000196199,Gene Expression,GRCh38,False,1069,0.26041666,0.23144235,78.58573717948718,1300.0,7.1708884,847
PSPC1-AS2,ENSG00000226352,Gene Expression,GRCh38,False,22,0.0044070515,0.004397369,99.55929487179486,22.0,3.1354942,17
PSPC1,ENSG00000121390,Gene Expression,GRCh38,False,1229,0.29527244,0.25872105,75.38060897435898,1474.0,7.2964134,959
ZMYM5,ENSG00000132950,Gene Expression,GRCh38,False,220,0.045072116,0.044085894,95.59294871794873,225.0,5.420535,179
AL355001.2,ENSG00000275964,Gene Expression,GRCh38,False,90,0.018229166,0.018065007,98.19711538461539,91.0,4.5217886,75
ZMYM2,ENSG00000121741,Gene Expression,GRCh38,False,1300,0.32191506,0.2790815,73.95833333333333,1607.0,7.382746,1037
GJB2,ENSG00000165474,Gene Expression,GRCh38,False,32,0.0064102565,0.006389798,99.35897435897436,32.0,3.4965076,25
GJB6,ENSG00000121742,Gene Expression,GRCh38,False,375,0.08213141,0.07893262,92.48798076923077,410.0,6.0185933,306
CRYL1,ENSG00000165475,Gene Expression,GRCh38,False,1120,0.2960737,0.25933948,77.56410256410257,1478.0,7.2991214,944
IFT88,ENSG00000032742,Gene Expression,GRCh38,False,412,0.088942304,0.08520686,91.74679487179486,444.0,6.0980744,340
AL161772.1,ENSG00000278291,Gene Expression,GRCh38,False,940,0.2560096,0.22793972,81.1698717948718,1278.0,7.153834,836
IL17D,ENSG00000172458,Gene Expression,GRCh38,False,1648,0.49539262,0.40238878,66.98717948717949,2473.0,7.8135915,1414
EEF1AKMT1,ENSG00000150456,Gene Expression,GRCh38,False,485,0.10616987,0.10090348,90.28445512820514,530.0,6.274762,395
AL512652.1,ENSG00000275485,Gene Expression,GRCh38,False,36,0.0072115385,0.00718566,99.27884615384616,36.0,3.6109178,25
XPO4,ENSG00000132953,Gene Expression,GRCh38,False,601,0.13341346,0.12523384,87.96073717948718,666.0,6.50279,491
LATS2,ENSG00000150457,Gene Expression,GRCh38,False,148,0.030248398,0.029799936,97.03525641025641,151.0,5.0238805,127
SAP18,ENSG00000150459,Gene Expression,GRCh38,False,3414,1.5294471,0.92800075,31.610576923076927,7635.0,8.940629,2520
SKA3,ENSG00000165480,Gene Expression,GRCh38,False,14,0.0030048077,0.0030003022,99.71955128205127,15.0,2.7725887,13
MRPL57,ENSG00000173141,Gene Expression,GRCh38,False,2318,0.7457933,0.5572091,53.56570512820513,3723.0,8.222553,1860
LINC00539,ENSG00000224429,Gene Expression,GRCh38,False,14,0.0028044872,0.002800562,99.71955128205127,14.0,2.7080503,10
ZDHHC20,ENSG00000180776,Gene Expression,GRCh38,False,563,0.1260016,0.118672945,88.72195512820514,629.0,6.4457197,460
MICU2,ENSG00000165487,Gene Expression,GRCh38,False,1551,0.3984375,0.33535555,68.93028846153845,1989.0,7.59589,1110
FGF9,ENSG00000102678,Gene Expression,GRCh38,False,1371,0.3455529,0.296805,72.5360576923077,1725.0,7.453562,909
SACS,ENSG00000151835,Gene Expression,GRCh38,False,899,0.21875,0.19782574,81.9911858974359,1092.0,6.9966817,741
LINC00327,ENSG00000232977,Gene Expression,GRCh38,False,21,0.004206731,0.0041979076,99.57932692307693,21.0,3.0910425,19
TNFRSF19,ENSG00000127863,Gene Expression,GRCh38,False,147,0.030448718,0.029994356,97.05528846153845,152.0,5.030438,129
MIPEP,ENSG00000027001,Gene Expression,GRCh38,False,201,0.042267628,0.041398752,95.9735576923077,211.0,5.3565865,163
SPATA13,ENSG00000182957,Gene Expression,GRCh38,False,734,0.16806892,0.15535189,85.29647435897436,839.0,6.733402,619
PARP4,ENSG00000102699,Gene Expression,GRCh38,False,158,0.033653848,0.03309995,96.8349358974359,168.0,5.1298985,137
AL359538.3,ENSG00000287376,Gene Expression,GRCh38,False,11,0.0022035257,0.0022011015,99.77964743589743,11.0,2.4849067,10
ATP12A,ENSG00000075673,Gene Expression,GRCh38,False,12,0.0030048077,0.0030003022,99.75961538461539,15.0,2.7725887,11
CENPJ,ENSG00000151849,Gene Expression,GRCh38,False,550,0.11919071,0.11260584,88.9823717948718,595.0,6.3902407,389
PABPC3,ENSG00000151846,Gene Expression,GRCh38,False,47,0.009615385,0.009569451,99.05849358974359,48.0,3.8918202,41
AMER2,ENSG00000165566,Gene Expression,GRCh38,False,2295,0.7311699,0.5487974,54.026442307692314,3650.0,8.202756,1806
LINC01053,ENSG00000238169,Gene Expression,GRCh38,False,13,0.0026041667,0.0026007819,99.73958333333334,13.0,2.6390574,13
LINC00463,ENSG00000234056,Gene Expression,GRCh38,False,22,0.0044070515,0.004397369,99.55929487179486,22.0,3.1354942,20
MTMR6,ENSG00000139505,Gene Expression,GRCh38,False,868,0.19971955,0.18208782,82.61217948717949,997.0,6.905753,704
AL590787.1,ENSG00000260509,Gene Expression,GRCh38,False,21,0.004206731,0.0041979076,99.57932692307693,21.0,3.0910425,15
NUP58,ENSG00000139496,Gene Expression,GRCh38,False,996,0.23377404,0.21007779,80.04807692307692,1167.0,7.0630484,779
ATP8A2,ENSG00000132932,Gene Expression,GRCh38,False,1370,0.3507612,0.3006683,72.55608974358974,1751.0,7.4685135,1076
RNF6,ENSG00000127870,Gene Expression,GRCh38,False,1152,0.28966346,0.2543813,76.92307692307692,1446.0,7.277248,945
AL138966.2,ENSG00000277368,Gene Expression,GRCh38,False,41,0.008213141,0.008179597,99.1786858974359,41.0,3.7376697,33
CDK8,ENSG00000132964,Gene Expression,GRCh38,False,492,0.10897436,0.10343559,90.14423076923077,544.0,6.300786,395
WASF3,ENSG00000132970,Gene Expression,GRCh38,False,2902,1.1486378,0.76483405,41.86698717948718,5734.0,8.654343,2266
GPR12,ENSG00000132975,Gene Expression,GRCh38,False,907,0.21133815,0.19172566,81.83092948717949,1055.0,6.9622436,760
USP12,ENSG00000152484,Gene Expression,GRCh38,False,892,0.20372596,0.18542172,82.13141025641025,1017.0,6.9255953,719
RPL21,ENSG00000122026,Gene Expression,GRCh38,False,4323,5.921074,1.9345709,13.401442307692314,29558.0,10.294144,2981
RASL11A,ENSG00000122035,Gene Expression,GRCh38,False,41,0.008613782,0.008576895,99.1786858974359,43.0,3.7841897,32
GTF3A,ENSG00000122034,Gene Expression,GRCh38,False,2157,0.64903843,0.50019234,56.79086538461539,3240.0,8.083637,1664
MTIF3,ENSG00000122033,Gene Expression,GRCh38,False,1394,0.35016027,0.3002233,72.07532051282051,1748.0,7.4667993,1116
LNX2,ENSG00000139517,Gene Expression,GRCh38,False,261,0.055488784,0.05400396,94.77163461538461,277.0,5.627621,214
POLR1D,ENSG00000186184,Gene Expression,GRCh38,False,2065,0.5969551,0.46809876,58.633814102564095,2980.0,8.000014,1598
URAD,ENSG00000183463,Gene Expression,GRCh38,False,21,0.0044070515,0.004397369,99.57932692307693,22.0,3.1354942,16
FLT3,ENSG00000122025,Gene Expression,GRCh38,False,583,0.12740384,0.119917504,88.3213141025641,636.0,6.4567695,438
PAN3-AS1,ENSG00000261485,Gene Expression,GRCh38,False,115,0.023838142,0.023558449,97.6963141025641,119.0,4.787492,88
PAN3,ENSG00000152520,Gene Expression,GRCh38,False,1453,0.37880608,0.32121795,70.89342948717949,1891.0,7.5453897,1053
